season,id,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,expanded_note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,og_scorer,og_assist_official,og_assist_1st,og_assist_2nd
2021-22,21-22-001,Kreisliga A,MD1,1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,31,31,1,0,1,Ana,Zabell,Bergmann,Bergmann,,,No Second Assist (Bergmann Corner),zabell,bergmann,bergmann,,,,,
2021-22,21-22-002,Kreisliga A,MD1,1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,39,39,2,0,2,Vanessa,Heim,Lau,Lau,,,No Second Assist (Lau won the ball),heim,lau,lau,,,,,
2021-22,21-22-003,Kreisliga A,MD1,1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,57,57,3,0,3,Virginia,Glänzer,Bergmann,Bergmann,Klemann,,,glanzer,bergmann,bergmann,klemann,,,,
2021-22,21-22-004,Kreisliga A,MD1,1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,65,65,4,0,4,Hannah,Goosmann,,Heim,,,No Official Assist (Rebound of shot by Heim); No Second Assist (Heim free kick),goosmann,,heim,,,,,
2021-22,21-22-005,Kreisliga A,MD1,1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,72,72,5,0,5,Vanessa,Heim,,Lau,Rogge-Herper,,No Official Assist (Rebound of shot by Lau),heim,,lau,rogge-herper,,,,
2021-22,21-22-006,Kreisliga A,MD1,1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,76,76,6,0,6,Ann-Katrin,Lau,Rogge-Herper,Rogge-Herper,Klemann,,,lau,rogge-herper,rogge-herper,klemann,,,,
2021-22,21-22-007,Kreisliga A,MD1,1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,88,88,7,0,7,Ana,Zabell,Rogge-Herper,Rogge-Herper,Goosmann,,,zabell,rogge-herper,rogge-herper,goosmann,,,,
2021-22,21-22-008,Kreisliga A,MD1,1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,91,91,8,0,8,Lisa,Klemann,Zabell,Zabell,Glänzer,,,klemann,zabell,zabell,glanzer,,,,
2021-22,21-22-009,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,9,9,1,0,1,Ana,Zabell,Heim,Heim,Gerres,,,zabell,heim,heim,gerres,,,,
2021-22,21-22-010,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,22,22,2,0,2,Ana,Zabell,Heim,Heim,,,No Second Assist (Zabell won the ball); Combination (Zabell-Heim-Zabell),zabell,heim,heim,,,,,
2021-22,21-22-011,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,27,27,3,0,3,Carolin,Kaul,Jung,Jung,Zabell,,,kaul,jung,jung,zabell,,,,
2021-22,21-22-012,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,29,29,4,0,4,Vanessa,Heim,Höhl,Höhl,,,No Second Assist (Höhl Corner),heim,hohl,hohl,,,,,
2021-22,21-22-013,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,31,31,5,0,5,Lilli,Prinzen,,Höhl,,,No Official Assist (Corner deflected off defender); No Second Assist (Höhl Corner),prinzen,,hohl,,,,,
2021-22,21-22-014,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,34,34,6,0,6,Vanessa,Heim,Kaul,Kaul,Prinzen,,Combination (Heim-Kaul-Heim),heim,kaul,kaul,prinzen,,,,
2021-22,21-22-015,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,42,42,7,0,7,Ann-Katrin,Lau,Heim,Heim,Kaul,,,lau,heim,heim,kaul,,,,
2021-22,21-22-016,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,49,49,8,0,8,Ann-Katrin,Lau,Heim,Heim,Glänzer,,,lau,heim,heim,glanzer,,,,
2021-22,21-22-017,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,56,56,9,0,9,Marina,Jung,,,,,No Assists (Direct free kick),jung,,,,,,,
2021-22,21-22-018,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,73,73,10,0,10,Annika,Herbig,Höhl,Höhl,Schneider,,,herbig,hohl,hohl,schneider,,,,
2021-22,21-22-019,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,82,82,11,0,11,Laura,Höhl,,Schneider,Zabell,,No Official Assist (Höhl cross failed to be cleared and came back to her),hohl,,schneider,zabell,,,,
2021-22,21-22-020,Kreispokal,R1,1,2021-09-17,Urania Lütgendortmund,Away,85,85,12,0,12,Hannah,Goosmann,Becker,Becker,Billig,,,goosmann,becker,becker,billig,,,,
2021-22,21-22-021,Kreisliga A,MD2,2,2021-09-26,SF Sölderholz,Away,12,12,1,0,1,Ann-Katrin,Lau,Goosmann,Goosmann,Jung,,Combination (Lau-Goosmann-Lau),lau,goosmann,goosmann,jung,,,,
2021-22,21-22-022,Kreisliga A,MD2,2,2021-09-26,SF Sölderholz,Away,13,13,2,0,2,Carolin,Kaul,,Bergmann,Zabell,,No Official Assist (Kaul scored on her own rebound),kaul,,bergmann,zabell,,,,
2021-22,21-22-023,Kreisliga A,MD2,2,2021-09-26,SF Sölderholz,Away,51,51,3,0,3,Hannah,Goosmann,Glänzer,Glänzer,Heim,,Originally reported as an own goal,goosmann,glanzer,glanzer,heim,,,,
2021-22,21-22-024,Kreisliga A,MD2,2,2021-09-26,SF Sölderholz,Away,82,82,4,0,4,Ana,Zabell,Billig,Billig,Lau,,,zabell,billig,billig,lau,,,,
2021-22,21-22-025,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,2,2,1,0,1,Annika,Billig,Goosmann,Goosmann,Bergmann,,,billig,goosmann,goosmann,bergmann,,,,
2021-22,21-22-026,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,5,5,2,0,2,Hannah,Goosmann,Rogge-Herper,Rogge-Herper,Jung,,,goosmann,rogge-herper,rogge-herper,jung,,,,
2021-22,21-22-027,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,8,8,3,0,3,Vanessa,Heim,Rogge-Herper,Rogge-Herper,Goosmann,,,heim,rogge-herper,rogge-herper,goosmann,,,,
2021-22,21-22-028,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,16,16,4,0,4,Lilli,Prinzen,,Bergmann,,,No official assist (ball came off defender); No pre-assist (Bergmann corner),prinzen,,bergmann,,,,,
2021-22,21-22-029,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,21,21,5,0,5,Marina,Jung,,Glänzer,,,No official assist (ball came off defender after shot by Glänzer),jung,,glanzer,,,,,
2021-22,21-22-030,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,41,41,6,0,6,Hannah,Goosmann,Heim,Heim,Billig,,,goosmann,heim,heim,billig,,,,
2021-22,21-22-031,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,45,45,7,0,7,Annika,Herbig,,Billig,Rogge-Herper,,No Official Assist (Defender half-cleared Billig pass),herbig,,billig,rogge-herper,,,,
2021-22,21-22-032,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,49,49,8,0,8,Hannah,Goosmann,Bergmann,Bergmann,Gerres,,,goosmann,bergmann,bergmann,gerres,,,,
2021-22,21-22-033,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,52,52,9,0,9,Hannah,Goosmann,Glänzer,Glänzer,,,No Second Assist (Glänzer won the ball),goosmann,glanzer,glanzer,,,,,
2021-22,21-22-034,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,55,55,10,0,10,Vanessa,Heim,,Goosmann,Glänzer,,No Official Assist (Rebound of Goosmann shot),heim,,goosmann,glanzer,,,,
2021-22,21-22-035,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,58,58,11,0,11,Hannah,Goosmann,Billig,Billig,Prinzen,,,goosmann,billig,billig,prinzen,,,,
2021-22,21-22-036,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,61,61,12,0,12,Annika,Billig,Gerres,Gerres,Jung,,Jung pass deflected to Gerres,billig,gerres,gerres,jung,,,,
2021-22,21-22-037,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,64,64,13,0,13,Ann-Katrin,Lau,Billig,Billig,,,No Second Assist (Billig won the ball),lau,billig,billig,,,,,
2021-22,21-22-038,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,84,84,14,0,14,Hannah,Goosmann,,Lau,Bergmann,,No Official Assist (Rebound of Lau shot),goosmann,,Lau,bergmann,,,,
2021-22,21-22-039,Kreisliga A,MD3,3,2021-10-03,BV Teutonia Lanstrop,Home,86,86,15,0,15,Virginia,Glänzer,Kaul,Kaul,Jung,,Pre-assist was shot rebounded from Jung,glanzer,kaul,kaul,jung,,,,
2021-22,21-22-040,Kreisliga A,MD4,4,2021-10-10,SpVg Berghofen III,Away,49,49,1,0,1,Kimberly,Becker,,,,,No Assists (Becker intercpeted a clearance),becker,,,,,,,
2021-22,21-22-041,Kreisliga A,MD4,4,2021-10-10,SpVg Berghofen III,Away,52,52,2,0,2,Hannah,Goosmann,Lau,Lau,Becker,,,goosmann,lau,lau,becker,,,,
2021-22,21-22-042,Kreisliga A,MD4,4,2021-10-10,SpVg Berghofen III,Away,55,55,3,0,3,Ann-Katrin,Lau,,Fälker,,,No official assist (Fälker cross touched defender); No Second Assist (Fälker won ball),lau,,falker,,,,,
2021-22,21-22-043,Kreisliga A,MD4,4,2021-10-10,SpVg Berghofen III,Away,65,65,4,0,4,Ann-Katrin,Lau,Bergmann,Bergmann,Fälker,,,lau,bergmann,bergmann,falker,,,,
