id,date,opponent,comp,round,venue,gf,ga,result,stream,time,recap,fussball_de,season
1,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win,109258,15:00,https://www.bvb.de/Mannschaften/Frauen/News/8-0-Auftaktsieg!-BVB-Frauen-begeistern-vor-1.625-Zuschauern,https://www.fussball.de/spiel/borussia-dortmund-bv-brambauer-13-45-ev/-/spiel/02FCK02UTK000000VS5489B4VSG06PAH#!/,2021-2022
2,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win,112775,19:00,https://www.bvb.de/Mannschaften/Frauen/News/Naechstes-Fussballfest-BVB-Frauen-gewinnen-12-0-im-Kreispokal,https://www.fussball.de/spiel/urania-luetgendortmund-borussia-dortmund/-/spiel/02F8OPC9C0000000VS5489B4VS777J8H#!/,2021-2022
3,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win,116896,15:15,https://www.bvb.de/Mannschaften/Frauen/News/BVB-Frauen-mit-naechstem-Sieg-in-der-Kreisliga,https://www.fussball.de/spiel/sf-soelderholz-borussia-dortmund/-/spiel/02FCK02TUK000000VS5489B4VSG06PAH#!/,2021-2022
4,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win,113998,16:30,https://www.bvb.de/Mannschaften/Frauen/News/15-0-gegen-Lanstrop-BVB-Frauen-erobern-Tabellenspitze,https://www.fussball.de/spiel/borussia-dortmund-bv-teutonia-lanstrop/-/spiel/02FCK02TQK000000VS5489B4VSG06PAH#!/,2021-2022
5,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win,114979,18:00,https://www.bvb.de/Mannschaften/Frauen/News/BVB-Frauen-nach-4-0-in-Berghofen-weiter-ohne-Punktverlust,https://www.fussball.de/spiel/spvg-berghofen-iii-borussia-dortmund/-/spiel/02FCK02TC0000000VS5489B4VSG06PAH#!/,2021-2022
6,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win,115775,15:00,https://www.bvb.de/Mannschaften/Frauen/News/Siegesserie-haelt-BVB-Frauen-dominieren-beim-10-0-gegen-Asseln,https://www.fussball.de/spiel/borussia-dortmund-tura-asseln/-/spiel/02FCK02T4O000000VS5489B4VSG06PAH#!/,2021-2022
7,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win,117160,17:00,https://www.bvb.de/Mannschaften/Frauen/News/Deutlicher-Auswaertssieg-Frauen-gewinnen-mit-6-0-bei-Ay-Yildiz-Derne,https://www.fussball.de/spiel/sf-ay-yildiz-derne-borussia-dortmund/-/spiel/02FCK02SS4000000VS5489B4VSG06PAH#!/,2021-2022
8,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win,116341,16:00,https://www.bvb.de/Mannschaften/Frauen/News/BVB-Frauen-besiegen-Schlusslicht-Luenen-mit-12-0,https://www.fussball.de/spiel/borussia-dortmund-luener-sv/-/spiel/02FCK02SFK000000VS5489B4VSG06PAH#!/,2021-2022
9,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win,,20:30,https://www.bvb.de/Mannschaften/Frauen/News/5-0-gegen-Derne-BVB-Frauen-siegreich-in-zweiter-Pokalrunde,https://www.fussball.de/spiel/borussia-dortmund-sf-ay-yildiz-derne/-/spiel/02F8OVR3V4000000VS5489B4VS777J8H#!/,2021-2022
10,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win,,14:30,https://www.bvb.de/Mannschaften/Frauen/News/Nach-Sieg-in-Kirchderne-Die-BVB-Frauen-sind-Herbstmeister,https://www.fussball.de/spiel/bv-viktoria-kirchderne-borussia-dortmund/-/spiel/02FCK02S3O000000VS5489B4VSG06PAH#!/,2021-2022
11,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win,125894,20:30,https://www.bvb.de/Mannschaften/Frauen/News/3-0-gegen-Dorstfeld-BVB-Frauen-stehen-im-Pokal-Halbfinale,https://www.fussball.de/spiel/borussia-dortmund-sv-eintracht-dorstfeld/-/spiel/02G3Q40NS0000000VS5489B3VVKAJ51L#!/,2021-2022
12,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win,123554,16:30,https://www.bvb.de/Mannschaften/Frauen/News/BVB-Frauen-beenden-2021-ungeschlagen,https://www.fussball.de/spiel/sv-koerne-borussia-dortmund/-/spiel/02FCK02RBO000000VS5489B4VSG06PAH#!/,2021-2022
