id,season,first,last,g_lg,1a_lg,2a_lg,pts_lg,g_ucl,1a_ucl,2a_ucl,pts_ucl,g_uel,1a_uel,2a_uel,pts_uel,g_cup,1a_cup,2a_cup,pts_cup,g_scup,1a_scup,2a_scup,pts_scup,g_uelq,1a_uelq,2a_uelq,pts_uelq,g_all,1a_all,2a_all,pts_all
akanji,2021-22,Manuel,Akanji,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4
bellingham,2021-22,Jude,Bellingham,3,9,8,20,1,3,0,4,2,2,0,4,0,0,0,0,0,1,0,1,0,0,0,0,6,15,8,29
brandt,2021-22,Julian,Brandt,10,8,9,27,0,0,1,1,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,10,10,11,31
burki,2021-22,Roman,Bürki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bynoe-gittens,2021-22,Jamie,Bynoe-Gittens,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
can,2021-22,Emre,Can,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6
dahoud,2021-22,Mahmoud,Dahoud,2,4,4,10,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,14
delaney,2021-22,Thomas,Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guerreiro,2021-22,Raphaël,Guerreiro,4,4,6,14,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,17
haaland,2021-22,Erling,Haaland,22,10,4,36,3,0,0,3,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,29,10,4,43
hazard,2021-22,Thorgan,Hazard,4,2,3,9,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,2,3,11
hitz,2021-22,Marwin,Hitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hummels,2021-22,Mats,Hummels,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
knauff,2021-22,Ansgar,Knauff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kobel,2021-22,Gregor,Kobel,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
malen,2021-22,Donyell,Malen,6,5,2,13,3,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,18
maloney,2021-22,Lennard,Maloney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
