season,id,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,active,incomplete
2015-16,15-16-001,Europa League Qualifying,3Q-1,1,2015-07-30,Wolfsberger AC,Away,16,16,1,0,1,Jonas,Hofmann,Mkhitaryan,Mkhitaryan,Aubameyang,,hofmann,mkhitaryan,mkhitaryan,aubameyang,inactive,
2015-16,15-16-002,Europa League Qualifying,3Q-2,2,2015-08-06,Wolfsberger AC,Home,48,48,1,0,1,Marco,Reus,Mkhitaryan,Mkhitaryan,Gündoğan,,reus,mkhitaryan,mkhitaryan,gundogan,active,
2015-16,15-16-003,Europa League Qualifying,3Q-2,2,2015-08-06,Wolfsberger AC,Home,64,64,2,0,2,Pierre-Emerick,Aubameyang,Gündoğan,Gündoğan,Reus,,aubameyang,gundogan,gundogan,reus,inactive,
2015-16,15-16-004,Europa League Qualifying,3Q-2,2,2015-08-06,Wolfsberger AC,Home,73,73,3,0,3,Henrikh,Mkhitaryan,,Piszczek,,No Official Assist (Unclear why); No 2nd Assist (Piszczek won the ball),mkhitaryan,,piszczek,,inactive,
2015-16,15-16-005,Europa League Qualifying,3Q-2,2,2015-08-06,Wolfsberger AC,Home,82,82,4,0,4,Henrikh,Mkhitaryan,,Weigl,Castro,No Official Assist (Unclear why),mkhitaryan,,weigl,castro,inactive,
2015-16,15-16-006,Europa League Qualifying,3Q-2,2,2015-08-06,Wolfsberger AC,Home,86,86,5,0,5,Henrikh,Mkhitaryan,,Hofmann,Castro,No Official Assist (Unclear why),mkhitaryan,,hofmann,castro,inactive,
2015-16,15-16-007,DFB-Pokal,R1,1,2015-08-09,Chemnitzer FC,Away,25,25,1,0,1,Pierre-Emerick,Aubameyang,Mkhitaryan,Mkhitaryan,Castro,,aubameyang,mkhitaryan,mkhitaryan,castro,inactive,
2015-16,15-16-008,DFB-Pokal,R1,1,2015-08-09,Chemnitzer FC,Away,82,82,2,0,2,Henrikh,Mkhitaryan,Aubameyang,Aubameyang,Gündoğan,,mkhitaryan,aubameyang,aubameyang,gundogan,inactive,
2015-16,15-16-009,Bundesliga,MD1,1,2015-08-15,Gladbach,Home,15,15,1,0,1,Marco,Reus,Kagawa,Kagawa,Hummels,,reus,kagawa,kagawa,hummels,active,
2015-16,15-16-010,Bundesliga,MD1,1,2015-08-15,Gladbach,Home,21,21,2,0,2,Pierre-Emerick,Aubameyang,Schmelzer,Schmelzer,Hummels,,aubameyang,schmelzer,schmelzer,hummels,inactive,
2015-16,15-16-011,Bundesliga,MD1,1,2015-08-15,Gladbach,Home,33,33,3,0,3,Henrikh,Mkhitaryan,Aubameyang,Aubameyang,Gündoğan,,mkhitaryan,aubameyang,aubameyang,gundogan,inactive,
2015-16,15-16-012,Bundesliga,MD1,1,2015-08-15,Gladbach,Home,50,50,4,0,4,Henrikh,Mkhitaryan,Reus,Reus,Kagawa,,mkhitaryan,reus,reus,kagawa,inactive,
2015-16,15-16-013,Europa League Qualifying,PO-1,3,2015-08-20,Odds BK,Away,33,33,1,3,-2,Pierre-Emerick,Aubameyang,,Gündoğan,Kampl,No Official Assist (Gündoğan shot saved and fell to Aubameyang),aubameyang,,gundogan,kampl,inactive,
2015-16,15-16-014,Europa League Qualifying,PO-1,3,2015-08-20,Odds BK,Away,47,47,2,3,-1,Shinji,Kagawa,,Bender,Schmelzer,No Official Assist (Unclear why); Schmelzer cross blocked to Bender,kagawa,,bender,schmelzer,inactive,
2015-16,15-16-015,Europa League Qualifying,PO-1,3,2015-08-20,Odds BK,Away,76,76,3,3,0,Pierre-Emerick,Aubameyang,Schmelzer,Schmelzer,Kagawa,,aubameyang,schmelzer,schmelzer,kagawa,inactive,
2015-16,15-16-016,Europa League Qualifying,PO-1,3,2015-08-20,Odds BK,Away,85,85,4,3,1,Henrikh,Mkhitaryan,Kagawa,Kagawa,Schmelzer,,mkhitaryan,kagawa,kagawa,schmelzer,inactive,
