id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
aubameyang,Pierre-Emerick,Aubameyang,🇬🇦,Gabon,772,9,1,1,1,2,11,0,1.05,0.23,1.28,1.28,20,55.0%,inactive
bender,Sven,Bender,🇩🇪,Germany,567,0,0,1,0,1,1,0,0.00,0.16,0.16,0.16,9,11.1%,inactive
burki,Roman,Bürki,🇨🇭,Switzerland,180,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,active
castro,Gonzalo,Castro,🇩🇪,Germany,683,1,2,2,4,6,7,0,0.13,0.79,0.92,0.92,15,46.7%,inactive
durm,Erik,Durm,🇩🇪,Germany,172,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,inactive
ginter,Matthias,Ginter,🇩🇪,Germany,538,1,1,1,0,1,2,0,0.17,0.17,0.33,0.33,10,20.0%,inactive
gundogan,İlkay,Gündoğan,🇩🇪,Germany,325,0,0,0,1,1,1,0,0.00,0.28,0.28,0.28,7,14.3%,inactive
hofmann,Jonas,Hofmann,🇩🇪,Germany,248,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,inactive
hummels,Mats,Hummels,🇩🇪,Germany,829,1,1,1,1,2,3,0,0.11,0.22,0.33,0.33,18,16.7%,active
januzaj,Adnan,Januzaj,🇧🇪,Belgium,330,1,0,0,0,0,1,0,0.27,0.00,0.27,0.27,5,20.0%,inactive
kagawa,Shinji,Kagawa,🇯🇵,Japan,480,0,1,1,3,4,4,0,0.00,0.75,0.75,0.75,10,40.0%,inactive
leitner,Moritz,Leitner,🇩🇪,Germany,43,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,inactive
mkhitaryan,Henrikh,Mkhitaryan,🇦🇲,Armenia,901,2,5,5,1,6,8,0,0.20,0.60,0.80,0.80,18,44.4%,inactive
papastathopoulos,Sokratis,Papastathopoulos,🇬🇷,Greece,428,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,11,0.0%,inactive
park,Jo-hoo,Park,🇰🇷,Korea Republic,339,1,1,1,1,2,3,0,0.27,0.53,0.80,0.80,5,60.0%,inactive
piszczek,Łukasz,Piszczek,🇵🇱,Poland,737,1,1,1,0,1,2,0,0.12,0.12,0.24,0.24,17,11.8%,active
pulisic,Christian,Pulisic,🇺🇸,United States,47,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,inactive
ramos,Adrián,Ramos,🇨🇴,Colombia,280,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,inactive
reus,Marco,Reus,🇩🇪,Germany,744,5,2,3,1,4,9,0,0.60,0.48,1.09,1.09,17,52.9%,active
sahin,Nuri,Şahin,🇹🇷,Turkey,145,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,inactive
schmelzer,Marcel,Schmelzer,🇩🇪,Germany,812,0,1,2,2,4,4,0,0.00,0.44,0.44,0.44,19,21.1%,active
stenzel,Pascal,Stenzel,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,inactive
subotic,Neven,Subotić,🇷🇸,Serbia,346,0,1,1,0,1,1,0,0.00,0.26,0.26,0.26,5,20.0%,inactive
weidenfeller,Roman,Weidenfeller,🇩🇪,Germany,900,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,19,0.0%,inactive
weigl,Julian,Weigl,🇩🇪,Germany,944,0,0,0,1,1,1,0,0.00,0.10,0.10,0.10,20,5.0%,inactive
