season,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,active
2017-18,Bundesliga,MD1,1,2017-08-19,Wolfsburg,Away,22,22,1,1,0,Christian,Pulisic,Götze,Götze,,No 2nd Assist (Götze won the ball),pulisic,gotze,gotze,,inactive
2017-18,Bundesliga,MD1,1,2017-08-19,Wolfsburg,Away,27,27,2,2,0,Marc,Bartra,Castro,Castro,Götze,,bartra,castro,castro,gotze,inactive
2017-18,Bundesliga,MD1,1,2017-08-19,Wolfsburg,Away,60,60,3,3,0,Pierre-Emerick,Aubameyang,Pulisic,Pulisic,Piszczek,,aubameyang,pulisic,pulisic,piszczek,inactive
2017-18,Bundesliga,MD2,2,2017-08-26,Hertha Berlin,Home,15,15,1,0,1,Pierre-Emerick,Aubameyang,Şahin,Şahin,Zagadou,,aubameyang,sahin,sahin,zagadou,inactive
2017-18,Bundesliga,MD2,2,2017-08-26,Hertha Berlin,Home,57,57,2,0,2,Nuri,Şahin,,Philipp,Pulisic,No Assists (Philipp shot deflected to Şahin),sahin,,philipp,pulisic,inactive
2017-18,Bundesliga,MD4,4,2017-09-17,Köln,Home,2,2,1,0,1,Maximilian,Philipp,Yarmolenko,Yarmolenko,,No 2nd Assist (Philipp won the ball),philipp,yarmolenko,yarmolenko,,inactive
2017-18,Bundesliga,MD4,4,2017-09-17,Köln,Home,45+1,45.1,2,0,2,Sokratis,Papastathopoulos,,Yarmolenko,,No Official Assist (Keeper blocked the corner and it fell to Papastathopoulos); No 2nd Assist Yarmolenko took corner),papastathopoulos,,yarmolenko,,inactive
2017-18,Bundesliga,MD4,4,2017-09-17,Köln,Home,59,59,3,0,3,Pierre-Emerick,Aubameyang,,,,No Assists (Penalty),aubameyang,,,,inactive
2017-18,Bundesliga,MD4,4,2017-09-17,Köln,Home,60,60,4,0,4,Pierre-Emerick,Aubameyang,Piszczek,Piszczek,Yarmolenko,,aubameyang,piszczek,piszczek,yarmolenko,inactive
2017-18,Bundesliga,MD4,4,2017-09-17,Köln,Home,69,69,5,0,5,Maximilian,Philipp,Dahoud,Dahoud,Papastathopoulos,,philipp,dahoud,dahoud,papastathopoulos,inactive
2017-18,Bundesliga,MD5,5,2017-09-20,Hamburger SV,Away,24,24,1,0,1,Shinji,Kagawa,Toprak,Toprak,Yarmolenko,,kagawa,toprak,toprak,yarmolenko,inactive
2017-18,Bundesliga,MD5,5,2017-09-20,Hamburger SV,Away,63,63,2,0,2,Pierre-Emerick,Aubameyang,,Yarmolenko,Pulisic,No Official Assist (Yarmolenko shot tapped in by Aubameyang),aubameyang,,yarmolenko,pulisic,inactive
