season,comp,round,round_alt,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,active,incomplete
2018-19,Bundesliga,MD1,1,RB Leipzig,Home,21,21,1,1,0,Mahmoud,Dahoud,Schmelzer,Schmelzer,Philipp,,dahoud,schmelzer,schmelzer,philipp,active,
2018-19,Bundesliga,MD1,1,RB Leipzig,Home,40,40,2,1,1,Marco,Reus,,,,Own Goal awarded to Reus; No Assists (Reus free kick),reus,,,,active,
2018-19,Bundesliga,MD1,1,RB Leipzig,Home,43,43,3,1,2,Axel,Witsel,,Delaney,Pulisic,No Official Assist (Delaney shot saved and fell to Witsel),witsel,,delaney,pulisic,active,
2018-19,Bundesliga,MD1,1,RB Leipzig,Home,90+1,90.1,4,1,3,Marco,Reus,Sancho,Sancho,Dahoud,,reus,sancho,sancho,dahoud,active,
2018-19,Bundesliga,MD3,3,Frankfurt,Home,36,36,1,0,1,Abdou,Diallo,,Bruun Larsen,,"No Official Assist (Diallo scored on his third attempt), No 2nd Assist (Bruun Larsen corner)",diallo,,bruun-larsen,,inactive,
2018-19,Bundesliga,MD3,3,Frankfurt,Home,72,72,2,1,1,Marius,Wolf,Sancho,Sancho,Alcácer,,wolf,sancho,sancho,alcácer,active,
2018-19,Bundesliga,MD3,3,Frankfurt,Home,88,88,3,1,2,Paco,Alcácer,,Sancho,,No Official Assist (Sancho pass deflected to Alcácer); No 2nd Assist (Sancho corner); Combination (Sancho to Alcácer to Sancho to Alcácer),alcacer,,sancho,,inactive,
2018-19,Bundesliga,MD4,4,Hoffenheim,Away,84,84,1,1,0,Christian,Pulisic,Reus,Reus,Schmelzer,,pulisic,reus,reus,schmelzer,inactive,
2018-19,Bundesliga,MD5,5,Nürnberg,Home,9,9,1,0,1,Jacob,Bruun Larsen,Pulisic,Pulisic,Hakimi,,bruun-larsen,pulisic,pulisic,hakimi,inactive,
2018-19,Bundesliga,MD5,5,Nürnberg,Home,32,32,2,0,2,Marco,Reus,Philipp,Philipp,Pulisic,,reus,phillip,phillip,pulisic,active,
2018-19,Bundesliga,MD5,5,Nürnberg,Home,49,49,3,0,3,Achraf,Hakimi,Reus,Reus,,No 2nd Assist (Reus won the ball),hakimi,reus,reus,,inactive,
2018-19,Bundesliga,MD5,5,Nürnberg,Home,58,58,4,0,4,Marco,Reus,Bruun Larsen,Bruun Larsen,Delaney,Combination (Delaney to Reus to Bruun Larsen to Reus),reus,bruun-larsen,bruun-larsen,delaney,active,
2018-19,Bundesliga,MD5,5,Nürnberg,Home,74,74,5,0,5,Manuel,Akanji,,,,No Assists (Akanji won the ball),akanji,,,,active,
2018-19,Bundesliga,MD5,5,Nürnberg,Home,85,85,6,0,6,Jadon,Sancho,Delaney,Delaney,Akanji,,sancho,delaney,delaney,akanji,active,
2018-19,Bundesliga,MD5,5,Nürnberg,Home,88,88,7,0,7,Julian,Weigl,Sancho,Sancho,Delaney,,weigl,sancho,sancho,delaney,inactive,
2018-19,Bundesliga,MD6,6,Leverkusen,Away,65,65,1,2,-1,Jacob,Bruun Larsen,,Reus,Hakimi,No Official Assist (Reus shot saved and fell to Bruun Larsen),bruun-larsen,,reus,hakimi,inactive,
2018-19,Bundesliga,MD6,6,Leverkusen,Away,69,69,2,2,0,Marco,Reus,Sancho,Reus,Bürki,Combination (Bürki to Sancho to Reus to Sancho to Reus),reus,sancho,reus,burki,active,
2018-19,Bundesliga,MD6,6,Leverkusen,Away,85,85,3,2,1,Paco,Alcácer,Hakimi,Hakimi,Reus,Combination (Reus to Alcácer to Hakimi to Alcácer),alcacer,hakimi,hakimi,reus,inactive,
2018-19,Bundesliga,MD6,6,Leverkusen,Away,90+4,90.4,4,2,2,Paco,Alcácer,Sancho,Sancho,Hakimi,,alcacer,sancho,sancho,hakimi,inactive,
2018-19,Bundesliga,MD7,7,Augsburg,Home,62,62,1,1,0,Paco,Alcácer,Sancho,Sancho,Witsel,,alcacer,sancho,sancho,witsel,inactive,
2018-19,Bundesliga,MD7,7,Augsburg,Home,80,80,2,2,0,Paco,Alcácer,Guerreiro,Guerreiro,,No 2nd Assist (Guerreiro free kick),alcacer,guerreiro,guerreiro,,inactive,
2018-19,Bundesliga,MD7,7,Augsburg,Home,84,84,3,2,1,Mario,Götze,Hakimi,Hakimi,Sancho,,gotze,hakimi,hakimi,sancho,inactive,
2018-19,Bundesliga,MD7,7,Augsburg,Home,90+6,90.6,4,3,1,Paco,Alcácer,,,,No Assists (Direct free kick),alcacer,,,,inactive,
2018-19,Bundesliga,MD8,8,Stuttgart,Away,3,3,1,0,1,Jadon,Sancho,,Reus,Bruun Larsen,No Official Assist (Reus pass deflected to Sancho),sancho,,reus,bruun-larsen,active,
2018-19,Bundesliga,MD8,8,Stuttgart,Away,23,23,2,0,2,Marco,Reus,Piszczek,Piszczek,Sancho,Combination (Sancho to Reus to Piszczek to Reus),reus,piszczek,piszczek,sancho,active,
2018-19,Bundesliga,MD8,8,Stuttgart,Away,25,25,3,0,3,Paco,Alcácer,Reus,Reus,,No 2nd Assist (Alcácer won the ball); Combination (Alcácer to Reus to Alcácer),alcacer,reus,reus,,inactive,
2018-19,Bundesliga,MD8,8,Stuttgart,Away,85,85,4,0,4,Maximilian,Philipp,Pulisic,Pulisic,Witsel,,philipp,pulisic,pulisic,witsel,inactive,
