season,comp,round,round_alt,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,active
2019-20,Bundesliga,MD1,1,Augsburg,Home,3,3,1,1,0,Paco,Alcácer,,Reus,Sancho,No Official Assist (Reus pass deflected off the keeper),alcacer,,reus,sancho,inactive
2019-20,Bundesliga,MD1,1,Augsburg,Home,51,51,2,1,1,Jadon,Sancho,Witsel,Witsel,Schulz,,sancho,witsel,witsel,schulz,active
2019-20,Bundesliga,MD1,1,Augsburg,Home,57,57,3,1,2,Marco,Reus,Alcácer,Alcácer,Sancho,"Sancho cross, keeper deflected to Alcácer",reus,alcacer,alcacer,sancho,active
2019-20,Bundesliga,MD1,1,Augsburg,Home,59,59,4,1,3,Paco,Alcácer,Sancho,Sancho,Hummels,,alcacer,sancho,sancho,hummels,inactive
2019-20,Bundesliga,MD1,1,Augsburg,Home,82,82,5,1,4,Julian,Brandt,Witsel,Witsel,Sancho,,brandt,witsel,witsel,sancho,active
2019-20,Bundesliga,MD2,2,Köln,Away,70,70,1,1,0,Jadon,Sancho,Hazard,Hazard,Alcácer,,sancho,hazard,hazard,alcacer,active
2019-20,Bundesliga,MD2,2,Köln,Away,86,86,2,1,1,Achraf,Hakimi,Piszczek,Piszczek,Brandt,,hakimi,piszczek,piszczek,brandt,active
2019-20,Bundesliga,MD2,2,Köln,Away,90+4,90.4,3,1,2,Paco,Alcácer,Sancho,Sancho,Brandt,,alcacer,sancho,sancho,brandt,inactive
2019-20,Bundesliga,MD3,3,Union Berlin,Away,25,25,1,1,0,Paco,Alcácer,Sancho,Sancho,Reus,,alcacer,sancho,sancho,reus,inactive
2019-20,Bundesliga,MD4,4,Leverkusen,Home,28,28,1,0,1,Paco,Alcácer,Hakimi,Hakimi,,No 2nd Assist (Hakimi won the ball),alcacer,hakimi,hakimi,,inactive
2019-20,Bundesliga,MD4,4,Leverkusen,Home,50,50,2,0,2,Marco,Reus,Sancho,Sancho,Akanji,,reus,sancho,sancho,akanji,active
2019-20,Bundesliga,MD4,4,Leverkusen,Home,83,83,3,0,3,Raphaël,Guerreiro,,Sancho,Delaney,No Official Assist (Sancho pass deflected off the keeper),guerreiro,,sancho,delaney,active
2019-20,Bundesliga,MD4,4,Leverkusen,Home,90,90,4,0,4,Marco,Reus,Bruun Larsen,Bruun Larsen,Hazard,,reus,bruun-larsen,bruun-larsen,hazard,active
2019-20,Bundesliga,MD5,5,Frankfurt,Away,11,11,1,0,1,Axel,Witsel,Hazard,Hazard,Sancho,Sancho shot punched away by the keeper to Hazard,witsel,hazard,hazard,sancho,active
2019-20,Bundesliga,MD5,5,Frankfurt,Away,66,66,2,1,1,Jadon,Sancho,Witsel,Witsel,Guerreiro,Guerreiro free kick saved by the keeper and fell to Witsel,sancho,witsel,witsel,guerreiro,active
2019-20,Bundesliga,MD6,6,Werder Bremen,Home,9,9,1,1,0,Mario,Götze,Piszczek,Piszczek,Hakimi,,gotze,piszczek,piszczek,hakimi,active
2019-20,Bundesliga,MD6,6,Werder Bremen,Home,41,41,2,1,1,Marco,Reus,Hazard,Hazard,Witsel,,reus,hazard,hazard,witsel,active
2019-20,Bundesliga,MD7,7,Freiburg,Away,20,20,1,0,1,Axel,Witsel,Hazard,Hazard,,No 2nd Assist (Hazard took the corner),witsel,hazard,hazard,,active
2019-20,Bundesliga,MD7,7,Freiburg,Away,67,67,2,1,1,Achraf,Hakimi,Sancho,Sancho,Brandt,,hakimi,sancho,sancho,brandt,active
2019-20,Bundesliga,MD8,8,Gladbach,Home,58,58,1,0,1,Marco,Reus,Hazard,Hazard,Brandt,,reus,hazard,hazard,brandt,active
