season,id,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,active
2020-21,20-21-p-001,Preseason,1,1,2020-08-12,Altach,Neutral,14,14,1,0,1,Gio,Reyna,Haaland,Haaland,Bellingham,,reyna,haaland,haaland,bellingham,active
2020-21,20-21-p-002,Preseason,1,1,2020-08-12,Altach,Neutral,36,36,2,0,2,Erling,Haaland,,,,No Assists (Penalty),haaland,,,,active
2020-21,20-21-p-003,Preseason,1,1,2020-08-12,Altach,Neutral,45+2,45.2,3,0,3,Erling,Haaland,Bellingham,Bellingham,Pherai,,haaland,bellingham,bellingham,pherai,active
2020-21,20-21-p-004,Preseason,1,1,2020-08-12,Altach,Neutral,75,75,4,0,4,Thorgan,Hazard,,,,No Assists (Penalty),hazard,,,,active
2020-21,20-21-p-005,Preseason,1,1,2020-08-12,Altach,Neutral,85,85,5,0,5,Emre,Can,Meunier,Meunier,Guerreiro,,can,meunier,meunier,guerreiro,active
2020-21,20-21-p-006,Preseason,1,1,2020-08-12,Altach,Neutral,90,90,6,0,6,Julian,Brandt,Guerreiro,Guerreiro,Passlack,,brandt,guerreiro,guerreiro,passlack,active
2020-21,20-21-p-007,Preseason,2,2,2020-08-16,Austria Wien,Neutral,9,9,1,0,1,Gio,Reyna,,Guerreiro,Meunier,No Official Assist (Pass from Guerreiro deflected to Reyna); Combination (Meunier to Reyna to Guerreiro to Reyna),reyna,,guerreiro,meunier,active
2020-21,20-21-p-008,Preseason,2,2,2020-08-16,Austria Wien,Neutral,23,23,2,0,2,Gio,Reyna,Akanji,Akanji,Pherai,,reyna,akanji,akanji,pherai,active
2020-21,20-21-p-009,Preseason,2,2,2020-08-16,Austria Wien,Neutral,41,41,3,1,2,Raphaël,Guerreiro,Knauff,Knauff,Can,,guerreiro,knauff,knauff,can,active
2020-21,20-21-p-010,Preseason,2,2,2020-08-16,Austria Wien,Neutral,44,44,4,1,3,Immanuel,Pherai,Witsel,Witsel,Passlack,,pherai,witsel,witsel,passlack,loan
2020-21,20-21-p-011,Preseason,2,2,2020-08-16,Austria Wien,Neutral,52,52,5,1,4,Jadon,Sancho,Can,Can,Duman,No 2nd Assist (Sancho corner),sancho,can,can,duman,active
2020-21,20-21-p-012,Preseason,2,2,2020-08-16,Austria Wien,Neutral,65,65,6,2,4,Emre,Can,Sancho,Sancho,,,can,sancho,sancho,,active
2020-21,20-21-p-013,Preseason,2,2,2020-08-16,Austria Wien,Neutral,73,73,7,2,5,Marius,Wolf,Can,Can,Delaney,Delaney shot saved and fell to Can,wolf,can,can,delaney,active
2020-21,20-21-p-014,Preseason,2,2,2020-08-16,Austria Wien,Neutral,76,76,8,2,6,Thorgan,Hazard,,,,No Assists (Penalty),hazard,,,,active
