id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,240,0,2,2,0,2,2,0,0.00,0.75,0.75,0.75,13,15.4%,active
bakir,Alaa,Bakir,🇩🇪,Germany,75,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,active
bellingham,Jude,Bellingham,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,240,1,3,3,2,5,6,0,0.38,1.88,2.25,2.25,16,37.5%,active
brandt,Julian,Brandt,🇩🇪,Germany,240,1,0,0,0,0,1,0,0.38,0.00,0.38,0.38,9,11.1%,active
broschinski,Moritz,Broschinski,🇩🇪,Germany,18,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
burki,Roman,Bürki,🇨🇭,Switzerland,195,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,6,0.0%,active
can,Emre,Can,🇩🇪,Germany,240,2,2,2,1,3,5,0,0.75,1.13,1.88,1.88,12,41.7%,active
delaney,Thomas,Delaney,🇩🇰,Denmark,240,0,1,1,1,2,3,0,0.00,0.75,0.75,0.75,16,18.8%,active
duman,Taylan,Duman,🇩🇪,Germany,195,1,0,0,2,2,3,0,0.46,0.92,1.38,1.38,13,23.1%,active
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,150,1,1,2,1,3,4,0,0.60,1.80,2.40,2.40,8,50.0%,active
haaland,Erling,Haaland,🇳🇴,Norway,177,2,1,1,0,1,3,1,1.02,0.51,1.53,1.02,5,60.0%,active
hazard,Thorgan,Hazard,🇧🇪,Belgium,240,3,1,1,3,4,7,2,1.13,1.50,2.63,1.88,16,43.8%,active
hippe,Maximilian,Hippe,🇩🇪,Germany,63,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
hitz,Marwin,Hitz,🇨🇭,Switzerland,150,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,15,0.0%,active
hummels,Mats,Hummels,🇩🇪,Germany,105,1,0,0,0,0,1,0,0.86,0.00,0.86,0.86,4,25.0%,active
knauff,Ansgar,Knauff,🇩🇪,Germany,195,2,2,3,0,3,5,0,0.92,1.38,2.31,2.31,8,62.5%,active
meunier,Thomas,Meunier,🇧🇪,Belgium,90,0,1,1,1,2,2,0,0.00,2.00,2.00,2.00,7,28.6%,active
morey,Mateu,Morey,🇪🇸,Spain,150,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,12,0.0%,active
passlack,Felix,Passlack,🇩🇪,Germany,255,0,0,0,2,2,2,0,0.00,0.71,0.71,0.71,9,22.2%,active
pherai,Immanuel,Pherai,🇳🇱,Netherlands,255,2,0,0,3,3,5,0,0.71,1.06,1.76,1.76,9,55.6%,active
piszczek,Łukasz,Piszczek,🇵🇱,Poland,240,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,12,0.0%,active
raschl,Tobias,Raschl,🇩🇪,Germany,210,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,11,0.0%,active
reyna,Gio,Reyna,🇺🇸,United States,150,4,0,1,1,2,6,0,2.40,1.20,3.60,3.60,12,50.0%,active
sancho,Jadon,Sancho,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,192,2,3,3,0,3,5,0,0.94,1.41,2.34,2.34,14,35.7%,active
schulz,Nico,Schulz,🇩🇪,Germany,240,1,0,0,1,1,2,0,0.38,0.38,0.75,0.75,16,12.5%,active
tachie,Richmond,Tachie,🇩🇪,Germany,75,0,1,1,0,1,1,0,0.00,1.20,1.20,1.20,1,100.0%,active
unbenhaun,Luca,Unbenhaun,🇩🇪,Germany,122,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,active
weigelt,Henri,Weigelt,🇩🇪,Germany,13,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
witsel,Axel,Witsel,🇧🇪,Belgium,240,1,1,1,0,1,2,0,0.38,0.38,0.75,0.75,9,22.2%,active
wolf,Marius,Wolf,🇩🇪,Germany,240,1,0,0,1,1,2,0,0.38,0.38,0.75,0.75,12,16.7%,active
zagadou,Dan-Axel,Zagadou,🇫🇷,France,45,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,active
