id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,2350,2,0,0,1,1,3,0,0.08,0.04,0.11,0.11,60,5.0%,active
bellingham,Jude,Bellingham,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,1697,1,3,3,4,7,8,0,0.05,0.37,0.42,0.42,41,19.5%,active
brandt,Julian,Brandt,🇩🇪,Germany,1495,3,2,2,6,8,11,0,0.18,0.48,0.66,0.66,36,30.6%,active
burki,Roman,Bürki,🇨🇭,Switzerland,1665,0,0,0,2,2,2,0,0.00,0.11,0.11,0.11,38,5.3%,active
can,Emre,Can,🇩🇪,Germany,2133,1,4,4,5,9,10,0,0.04,0.38,0.42,0.42,53,18.9%,active
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,1258,1,1,1,3,4,5,0,0.07,0.29,0.36,0.36,34,14.7%,active
delaney,Thomas,Delaney,🇩🇰,Denmark,1286,1,1,1,1,2,3,0,0.07,0.14,0.21,0.21,32,9.4%,active
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,2218,5,10,11,5,16,21,0,0.20,0.65,0.85,0.85,58,36.2%,active
haaland,Erling,Haaland,🇳🇴,Norway,2407,28,6,7,4,11,39,2,1.05,0.41,1.46,1.38,64,60.9%,active
hazard,Thorgan,Hazard,🇧🇪,Belgium,654,1,3,3,0,3,4,0,0.14,0.41,0.55,0.55,17,23.5%,active
hitz,Marwin,Hitz,🇨🇭,Switzerland,1395,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,37,0.0%,active
hummels,Mats,Hummels,🇩🇪,Germany,2813,5,0,0,3,3,8,0,0.16,0.10,0.26,0.26,67,11.9%,active
knauff,Ansgar,Knauff,🇩🇪,Germany,71,1,1,1,0,1,2,0,1.27,1.27,2.54,2.54,3,66.7%,active
meunier,Thomas,Meunier,🇧🇪,Belgium,1472,1,1,2,1,3,4,0,0.06,0.18,0.24,0.24,34,11.8%,active
morey,Mateu,Morey,🇪🇸,Spain,829,0,2,3,0,3,3,0,0.00,0.33,0.33,0.33,22,13.6%,active
moukoko,Youssoufa,Moukoko,🇩🇪,Germany,422,3,0,1,1,2,5,0,0.64,0.43,1.07,1.07,10,50.0%,active
passlack,Felix,Passlack,🇩🇪,Germany,362,1,0,0,0,0,1,0,0.25,0.00,0.25,0.25,9,11.1%,active
piszczek,Łukasz,Piszczek,🇵🇱,Poland,455,0,0,0,1,1,1,0,0.00,0.20,0.20,0.20,11,9.1%,active
reinier,,Reinier,🇧🇷,Brazil,257,1,1,1,0,1,2,0,0.35,0.35,0.70,0.70,6,33.3%,active
reus,Marco,Reus,🇩🇪,Germany,2279,8,6,6,6,12,20,0,0.32,0.47,0.79,0.79,58,34.5%,active
reyna,Gio,Reyna,🇺🇸,United States,1976,4,5,6,5,11,15,0,0.18,0.50,0.68,0.68,44,34.1%,active
sancho,Jadon,Sancho,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,2062,8,11,13,4,17,25,1,0.35,0.74,1.09,1.05,45,55.6%,active
schulz,Nico,Schulz,🇩🇪,Germany,610,0,0,0,2,2,2,0,0.00,0.30,0.30,0.30,13,15.4%,active
tigges,Steffen,Tigges,🇩🇪,Germany,56,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,active
witsel,Axel,Witsel,🇧🇪,Belgium,1130,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,24,0.0%,active
zagadou,Dan-Axel,Zagadou,🇫🇷,France,276,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,6,0.0%,active
