id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,435,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,18,0.0%,active
bellingham,Jude,Bellingham,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,417,2,0,0,0,0,2,0,0.43,0.00,0.43,0.43,15,13.3%,active
brandt,Julian,Brandt,🇩🇪,Germany,206,0,0,0,1,1,1,0,0.00,0.44,0.44,0.44,4,25.0%,active
burki,Roman,Bürki,🇨🇭,Switzerland,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,active
can,Emre,Can,🇩🇪,Germany,451,1,1,1,0,1,2,0,0.20,0.20,0.40,0.40,18,11.1%,active
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,209,0,1,1,1,2,2,0,0.00,0.86,0.86,0.86,5,40.0%,active
delaney,Thomas,Delaney,🇩🇰,Denmark,391,0,2,2,0,2,2,0,0.00,0.46,0.46,0.46,9,22.2%,active
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,304,0,1,1,0,1,1,0,0.00,0.30,0.30,0.30,12,8.3%,active
haaland,Erling,Haaland,🇳🇴,Norway,355,3,1,1,2,3,6,0,0.76,0.76,1.52,1.52,12,50.0%,active
hazard,Thorgan,Hazard,🇧🇪,Belgium,256,2,1,1,1,2,4,0,0.70,0.70,1.41,1.41,12,33.3%,active
hitz,Marwin,Hitz,🇨🇭,Switzerland,480,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,16,0.0%,active
hummels,Mats,Hummels,🇩🇪,Germany,405,1,0,0,1,1,2,0,0.22,0.22,0.44,0.44,16,12.5%,active
meunier,Thomas,Meunier,🇧🇪,Belgium,83,0,0,0,2,2,2,0,0.00,2.17,2.17,2.17,5,40.0%,active
morey,Mateu,Morey,🇪🇸,Spain,229,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,active
passlack,Felix,Passlack,🇩🇪,Germany,75,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,active
piszczek,Łukasz,Piszczek,🇵🇱,Poland,305,0,0,0,1,1,1,0,0.00,0.30,0.30,0.30,13,7.7%,active
reinier,,Reinier,🇧🇷,Brazil,56,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
reus,Marco,Reus,🇩🇪,Germany,306,2,4,4,2,6,8,0,0.59,1.76,2.35,2.35,12,66.7%,active
reyna,Gio,Reyna,🇺🇸,United States,240,3,0,0,1,1,4,0,1.13,0.38,1.50,1.50,11,36.4%,active
sancho,Jadon,Sancho,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,514,6,5,5,1,6,12,1,1.05,1.05,2.10,1.93,20,60.0%,active
schulz,Nico,Schulz,🇩🇪,Germany,176,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,3,0.0%,active
tigges,Steffen,Tigges,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
witsel,Axel,Witsel,🇧🇪,Belgium,105,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,6,0.0%,active
zagadou,Dan-Axel,Zagadou,🇫🇷,France,91,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
