id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,90,0,0,0,1,1,1,0,0.00,1.00,1.00,1.00,2,50.0%,active
bellingham,Jude,Bellingham,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,15,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
brandt,Julian,Brandt,🇩🇪,Germany,75,1,0,0,0,0,1,0,1.20,0.00,1.20,1.20,2,50.0%,active
can,Emre,Can,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
delaney,Thomas,Delaney,🇩🇰,Denmark,90,0,1,1,0,1,1,0,0.00,1.00,1.00,1.00,2,50.0%,active
haaland,Erling,Haaland,🇳🇴,Norway,66,1,1,1,0,1,2,0,1.36,1.36,2.73,2.73,2,100.0%,active
hitz,Marwin,Hitz,🇨🇭,Switzerland,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
hummels,Mats,Hummels,🇩🇪,Germany,75,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
meunier,Thomas,Meunier,🇧🇪,Belgium,66,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
passlack,Felix,Passlack,🇩🇪,Germany,90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
piszczek,Łukasz,Piszczek,🇵🇱,Poland,15,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
reinier,,Reinier,🇧🇷,Brazil,24,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
reus,Marco,Reus,🇩🇪,Germany,71,0,0,0,1,1,1,0,0.00,1.27,1.27,1.27,2,50.0%,active
reyna,Gio,Reyna,🇺🇸,United States,19,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
schulz,Nico,Schulz,🇩🇪,Germany,24,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
