id,first,last,flag,nation,mins,goals,assist_official,assist_1,assist_2,assists_total,points,pk,g90,a90,pts90,pts-pk90,ong,involve,active
akanji,Manuel,Akanji,🇨🇭,Switzerland,360,0,0,0,1,1,1,0,0.00,0.25,0.25,0.25,12,8.3%,active
bellingham,Jude,Bellingham,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,427,0,1,1,0,1,1,0,0.00,0.21,0.21,0.21,12,8.3%,active
brandt,Julian,Brandt,🇩🇪,Germany,207,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,6,0.0%,active
burki,Roman,Bürki,🇨🇭,Switzerland,360,0,0,0,1,1,1,0,0.00,0.25,0.25,0.25,9,11.1%,active
can,Emre,Can,🇩🇪,Germany,289,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,7,0.0%,active
dahoud,Mahmoud,Dahoud,🇩🇪,Germany,334,1,0,0,2,2,3,0,0.27,0.54,0.81,0.81,8,37.5%,active
delaney,Thomas,Delaney,🇩🇰,Denmark,419,0,0,1,1,2,2,0,0.00,0.43,0.43,0.43,11,18.2%,active
guerreiro,Raphaël,Guerreiro,🇵🇹,Portugal,485,1,0,0,1,1,2,0,0.19,0.19,0.37,0.37,13,15.4%,active
haaland,Erling,Haaland,🇳🇴,Norway,523,10,1,1,0,1,11,1,1.72,0.17,1.89,1.72,14,78.6%,active
hazard,Thorgan,Hazard,🇧🇪,Belgium,427,1,1,2,1,3,4,0,0.21,0.63,0.84,0.84,13,30.8%,active
hitz,Marwin,Hitz,🇨🇭,Switzerland,360,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,8,0.0%,active
hummels,Mats,Hummels,🇩🇪,Germany,611,0,0,1,1,2,2,0,0.00,0.29,0.29,0.29,13,15.4%,active
knauff,Ansgar,Knauff,🇩🇪,Germany,8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
meunier,Thomas,Meunier,🇧🇪,Belgium,338,0,1,1,1,2,2,0,0.00,0.53,0.53,0.53,9,22.2%,active
morey,Mateu,Morey,🇪🇸,Spain,294,0,0,0,1,1,1,0,0.00,0.31,0.31,0.31,6,16.7%,active
moukoko,Youssoufa,Moukoko,🇩🇪,Germany,33,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2,0.0%,active
passlack,Felix,Passlack,🇩🇪,Germany,121,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
piszczek,Łukasz,Piszczek,🇵🇱,Poland,225,1,0,0,0,0,1,0,0.40,0.00,0.40,0.40,2,50.0%,active
reinier,,Reinier,🇧🇷,Brazil,20,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0%,active
reus,Marco,Reus,🇩🇪,Germany,513,0,2,2,1,3,3,0,0.00,0.53,0.53,0.53,9,33.3%,active
reyna,Gio,Reyna,🇺🇸,United States,407,0,1,1,1,2,2,0,0.00,0.44,0.44,0.44,11,18.2%,active
sancho,Jadon,Sancho,🏴󠁧󠁢󠁥󠁮󠁧󠁿,England,387,2,3,3,0,3,5,1,0.47,0.70,1.16,0.93,9,55.6%,active
schulz,Nico,Schulz,🇩🇪,Germany,207,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,4,0.0%,active
witsel,Axel,Witsel,🇧🇪,Belgium,363,1,0,1,1,2,3,0,0.25,0.50,0.74,0.74,8,37.5%,active
zagadou,Dan-Axel,Zagadou,🇫🇷,France,21,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0%,active
